Start, End, Sleep quality, Time in bed, Wake up, Sleep Notes, Heart rate, Activity (steps),Time edit
 2018-07-02 23:37:34, 2018-07-03 05:19:46,61,5.42, :|, Climbing:Worked out,86,7637,6

 2018-07-03 23:26:58, 2018-07-04 05:13:34,57,5.46, :(, Pole fitness:Worked out,68,10329,6

 2018-07-08 00:25:28, 2018-07-08 06:34:55,66,6.09, :|, Climbing,79,5083,7

 2018-07-22 23:34:17, 2018-07-23 07:16:18,88,7.42, :|, ,81,6232,8

 2018-07-23 23:52:33, 2018-07-24 05:15:35,61,5.23, :(, Totm,74,7837,6

 2018-07-26 23:30:44, 2018-07-27 05:18:29,67,5.47, :(, Totm,75,4154,6

 2018-07-27 22:57:44, 2018-07-28 03:52:08,50,4.54, , Totm,0,10042,5

 2018-08-23 23:17:02, 2018-08-24 07:33:32,96,8.16, :|, ,80,4506,9

 2018-08-28 23:25:51, 2018-08-29 07:10:46,89,7.44, :|, ,86,5145,8

 2018-09-01 01:15:49, 2018-09-01 07:26:31,68,6.1, :|, ,92,3707,7

 2018-09-02 23:57:45, 2018-09-03 05:00:07,61,5.02, :), Climbing:Worked out,90,8331,6

 2018-09-03 23:00:55, 2018-09-04 07:08:17,97,8.07, :|, ??,92,3964,9

 2018-09-08 00:19:03, 2018-09-08 07:35:57,83,7.16, :|, ,86,19100,8

 2018-09-11 23:18:10, 2018-09-12 06:51:57,90,7.33, :|, Feeling ill ??:Stressful day:??,73,2364,8

 2018-09-12 23:24:15, 2018-09-13 07:03:46,79,7.39, :|, ,109,6706,8

 2018-09-13 22:04:16, 2018-09-14 06:13:02,87,8.08, :|, Feeling ill ??:Totm,85,5243,9

 2018-09-16 22:14:13, 2018-09-17 06:51:39,87,8.37, :|, Feeling ill ??:Totm,85,6951,9

 2018-09-17 23:48:00, 2018-09-18 06:00:29,60,6.12, :|, Feeling ill ??:Totm:??,80,2927,7

 2018-09-19 00:51:19, 2018-09-19 05:54:30,58,5.03, :(, Feeling ill ??:??,87,7335,6

 2018-09-19 22:14:45, 2018-09-20 05:35:42,71,7.2, :(, Feeling ill ??:??,75,8309,8

 2018-09-20 22:34:59, 2018-09-21 02:23:16,30,3.48, :|, Away from home,78,12865,4

 2018-09-22 21:33:06, 2018-09-23 06:54:24,95,9.21, :|, Away from home,81,31878,10

 2018-09-23 21:25:58, 2018-09-24 05:07:26,82,7.41, :|, Away from home,78,20964,8

 2018-09-24 20:08:28, 2018-09-25 05:07:10,95,8.58, :), Away from home:Feeling ill ??:Stressful day,79,20083,9

 2018-09-25 23:06:33, 2018-09-26 06:25:55,79,7.19, :|, Away from home,86,24101,8

 2018-09-26 21:58:11, 2018-09-27 05:57:30,87,7.59, :|, ,101,4633,8

 2018-09-27 21:51:24, 2018-09-28 05:12:15,80,7.2, :(, Away from home,88,35665,8

 2018-09-29 01:02:16, 2018-09-29 05:35:06,48,4.32, :|, ??,93,15406,5

 2018-09-29 23:07:11, 2018-09-30 07:22:13,87,8.15, :(, ,92,8350,9

 2018-09-30 22:51:53, 2018-10-01 05:40:45,71,6.48, :(, ??,76,4675,7

 2018-10-01 23:07:18, 2018-10-02 06:17:38,76,7.1, :(, Stressful day,92,7789,8

 2018-10-02 23:35:33, 2018-10-03 04:10:31,49,4.34, :|, ,86,6276,5

 2018-10-03 22:26:23, 2018-10-03 23:00:23,6,0.34, , ,0,7284,1

 2018-10-04 23:46:42, 2018-10-05 06:01:11,63,6.14, :|, Climbing:Worked out,82,8937,7

 2018-10-06 01:47:34, 2018-10-06 07:08:35,56,5.21, :(, Drinking alcohol,111,15391,6

 2018-10-06 21:42:00, 2018-10-07 07:16:26,92,9.34, :|, Feeling ill ??,88,12621,10

 2018-10-07 21:35:30, 2018-10-08 06:52:26,94,9.16, :), Climbing:Worked out,98,140,10

 2018-10-08 22:22:25, 2018-10-09 03:12:38,48,4.5, :|, Climbing:Cycled to work:Worked out,87,0,5

 2018-10-10 00:16:18, 2018-10-10 07:10:21,74,6.54, :|, Feeling ill ??,87,0,7

 2018-10-10 22:19:43, 2018-10-11 07:15:56,89,8.56, :(, Feeling ill ??:Totm,106,0,9

 2018-10-12 22:06:51, 2018-10-13 06:44:59,92,8.38, :|, Feeling ill ??:Totm,88,0,9

 2018-10-14 23:32:42, 2018-10-15 06:00:24,69,6.27, :|, Climbing:Feeling ill ??:Totm:Worked out,85,0,7

 2018-10-15 23:47:39, 2018-10-16 06:11:03,66,6.23, :(, Cycled to work,76,7033,7

 2018-10-16 23:00:43, 2018-10-17 06:03:07,72,7.02, :|, ,84,5714,8

 2018-10-18 22:08:47, 2018-10-19 05:31:04,80,7.22, :|, ,85,968,8

 2018-10-19 22:49:43, 2018-10-20 05:12:50,67,6.23, :|, Stressful day,67,0,7

